Species,Mean.QWL,SD.QWL,Min.QWL,Max.QWL,N,Mark.QWL
1,0.171761157,0.023738781,0.135790116,0.273706098,99,mnopqrstuvw
2,0.183407833,0.028106623,0.113759071,0.252360069,90,fghijklmnop
3,0.176484127,0.016073877,0.110912887,0.218173703,100,jklmnopqrs
4,0.159675413,0.017476423,0.09666536,0.200423716,97,vwxyzABCDEF
5,0.166384148,0.022276243,0.119366493,0.225330727,93,rstuvwxy
6,0.183568187,0.014685966,0.147472788,0.219043885,97,fghijklmnop
7,0.146681053,0.016865724,0.105636494,0.195531914,98,EFGHIJKLM
8,0.10230205,0.024785053,0.078048846,0.189558166,100,UV
9,0.141118259,0.012884488,0.115317765,0.16345871,95,IJKLMNOP
10,0.126022836,0.023172434,0.087590369,0.188097519,99,QRS
11,0.116639938,0.025980555,0.078966957,0.184060714,100,STU
12,0.161272905,0.021481135,0.108241334,0.223298792,98,tuvwxyzABCD
13,0.137277126,0.023600236,0.097127803,0.202622861,97,KLMNOPQ
14,0.10377736,0.017344442,0.072495931,0.171385263,98,UV
15,0.140923276,0.023382787,0.099702554,0.220886839,100,IJKLMNOP
16,0.106680873,0.016561045,0.07977429,0.159495157,97,TUV
17,0.19280923,0.012223135,0.168636301,0.221026324,104,efghi
18,0.151773914,0.02182169,0.105937125,0.19456521,98,yzABCDEFGHIJK
20,0.184513488,0.034929053,0.110046389,0.245613023,101,fghijklmn
21,0.145148786,0.019176542,0.10026972,0.189290446,106,GHIJKLMN
22,0.129698866,0.015408027,0.107599304,0.180164941,99,PQRS
23,0.182943216,0.028528671,0.132888466,0.277062283,103,ghijklmnop
24,0.120565958,0.008956654,0.102418509,0.143722026,101,RST
25,0.197577805,0.03234092,0.142485289,0.297568811,101,def
27,0.143717099,0.025461972,0.102227938,0.225142429,100,HIJKLMNOP
28,0.141206191,0.023021401,0.102517127,0.220171643,96,HIJKLMNOP
29,0.162330013,0.026171146,0.116530656,0.279813066,100,stuvwxyzABC
30,0.226618277,0.032584875,0.128398249,0.303326292,95,a
31,0.151434639,0.018939468,0.107397186,0.187636742,102,zABCDEFGHIJK
32,0.203775434,0.011093467,0.184842829,0.25642569,98,cde
33,0.179622906,0.021896746,0.120515247,0.240436334,100,ijklmnopqr
34,0.159853499,0.026193251,0.092501441,0.228378592,100,vwxyzABCDEF
35,0.154804512,0.014482231,0.127039076,0.212622679,100,xyzABCDEFGHI
36,0.139269789,0.014647172,0.110911839,0.186806065,96,JKLMNOPQ
37,0.188591776,0.030205787,0.12041764,0.257227839,107,fghijk
38,0.16198507,0.024138687,0.118748577,0.223836454,99,tuvwxyzABC
39,0.185884347,0.015627191,0.154392801,0.219716256,100,fghijklm
40,0.192662312,0.012235558,0.169857896,0.219673894,94,efghi
41,0.147388109,0.023497835,0.11381367,0.233141731,102,DEFGHIJKLM
42,0.166365002,0.03003316,0.131493984,0.253859226,103,rstuvwxy
43,0.167501622,0.029951955,0.12057603,0.225805351,100,rstuvwx
44,0.18494315,0.025973017,0.136666124,0.270315218,100,fghijklm
45,0.187821513,0.030385463,0.130490832,0.279243567,99,fghijkl
46,0.168517491,0.022264984,0.130156473,0.210518091,98,qrstuvwx
47,0.172183579,0.02449837,0.136495655,0.222979909,106,mnopqrstuvw
48,0.174248787,0.028797491,0.116224144,0.266431067,100,lmnopqrstu
49,0.195355869,0.035257159,0.126162247,0.26225996,101,defgh
50,0.16963739,0.03219225,0.128892649,0.255668444,105,pqrstuvw
51,0.17271783,0.021774353,0.121803835,0.227087861,101,mnopqrstuvw
52,0.151062529,0.022975488,0.109380874,0.213559485,98,zABCDEFGHIJK
53,0.166997752,0.034383299,0.118882972,0.257776697,110,rstuvwx
54,0.150409528,0.026868602,0.103077151,0.218013252,101,ABCDEFGHIJK
55,0.182211491,0.041516374,0.109163769,0.296621691,104,hijklmnopq
56,0.170185511,0.02871556,0.121124126,0.239515607,98,nopqrstuvw
57,0.224402893,0.025620877,0.138176844,0.281289088,97,a
58,0.19732463,0.014229084,0.17172778,0.246445186,96,defg
59,0.169423718,0.026075844,0.129236465,0.250430962,100,pqrstuvwx
60,0.168023815,0.023251728,0.122707744,0.217832275,104,rstuvwx
61,0.190464834,0.02681842,0.140209357,0.259146742,98,efghij
62,0.148405035,0.009043277,0.127081723,0.178600468,97,CDEFGHIJKL
63,0.183752998,0.018109387,0.14021182,0.231051118,104,fghijklmno
64,0.16325516,0.021091042,0.124003964,0.209791181,100,stuvwxyzAB
66,0.163718304,0.02793801,0.116153369,0.235461023,101,stuvwxyzA
67,0.159791174,0.021026643,0.107979738,0.226871064,99,vwxyzABCDEF
68,0.21994188,0.034766933,0.129068419,0.302675649,102,ab
69,0.175710518,0.030566733,0.116643791,0.240265182,100,klmnopqrst
70,0.20788013,0.031382321,0.153681801,0.294258133,98,bcd
71,0.194429872,0.030155382,0.145108273,0.264522159,103,defgh
72,0.178731684,0.029876446,0.134364525,0.26696387,95,ijklmnopqr
73,0.169495717,0.028647601,0.125274555,0.22855967,92,pqrstuvwx
74,0.19157474,0.023329494,0.147391923,0.257691875,104,efghi
75,0.155384101,0.028782276,0.114004749,0.239824725,111,xyzABCDEFGH
76,0.152362906,0.031650285,0.107257367,0.227320148,98,yzABCDEFGHIJ
77,0.1457856,0.025316884,0.109536508,0.221686677,103,FGHIJKLM
78,0.151355428,0.0223992,0.111508315,0.201339615,95,zABCDEFGHIJK
79,0.174056176,0.01389565,0.150898143,0.21984373,99,lmnopqrstuv
80,0.169751974,0.016757708,0.115325597,0.200507849,98,opqrstuvw
82,0.14923991,0.013444147,0.11559722,0.184637766,97,BCDEFGHIJK
83,0.165633787,0.032052414,0.091127955,0.229117076,96,rstuvwxyz
85,0.148216545,0.020077568,0.11092586,0.189243938,99,CDEFGHIJKL
86,0.13050222,0.018099726,0.091945143,0.163579244,93,OPQRS
87,0.179850421,0.015137021,0.145033766,0.22081084,102,ijklmnopqr
88,0.133824463,0.021909083,0.08500689,0.178358866,92,LMNOPQR
89,0.143973139,0.018345324,0.104269696,0.182088503,106,HIJKLMNO
90,0.146022369,0.022643554,0.102824308,0.203229463,104,FGHIJKLM
91,0.13346119,0.013383682,0.107012023,0.16749131,96,MNOPQR
92,0.130862804,0.016445666,0.091899188,0.167905627,95,NOPQRS
93,0.129640592,0.011486732,0.104536241,0.155666302,98,PQRS
94,0.192357588,0.027676503,0.136633748,0.272331021,100,efghi
95,0.160253314,0.018980455,0.121436496,0.212853322,101,uvwxyzABCDE
96,0.158958882,0.021828224,0.122219563,0.215393966,99,wxyzABCDEFG
97,0.154764395,0.024438795,0.117361018,0.227294013,97,xyzABCDEFGHI
98,0.169580492,0.032219808,0.120722286,0.240955737,102,pqrstuvw
99,0.139697931,0.020482948,0.107032946,0.207066295,98,JKLMNOPQ
100,0.129775132,0.014451381,0.105381982,0.191840899,100,PQRS
101,0.149897571,0.015639796,0.119623494,0.200341289,95,ABCDEFGHIJK
